height,forkscount
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,2
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,1
115,2
116,2
117,1
118,2
119,1
120,2
121,0
122,2
123,1
124,2
125,1
126,0
127,3
128,0
129,3
130,0
131,2
132,1
133,1
134,2
135,1
136,0
137,1
138,3
139,1
140,3
141,3
142,3
143,4
144,0
145,1
146,1
147,2
148,3
149,1
150,2
151,2
152,1
153,2
154,2
155,3
156,2
157,1
158,1
159,3
160,3
161,2
162,2
163,4
164,3
165,2
166,3
167,3
168,5
169,2
170,2
171,2
172,2
173,3
174,1
175,1
176,2
177,2
178,5
179,3
180,1
181,0
182,0
183,2
184,1
185,3
186,3
187,4
188,4
189,1
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,2
214,1
215,2
216,2
217,1
218,2
219,0
220,1
221,0
222,1
223,1
224,0
225,2
226,1
227,1
228,1
229,2
230,2
231,1
232,2
233,2
234,1
235,2
236,3
237,3
238,2
239,2
240,3
241,3
242,4
243,3
244,3
245,2
246,1
247,2
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
