height,forkscount
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,2
62,1
63,0
64,3
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,2
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,2
125,5
126,2
127,1
128,3
129,2
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,3
138,6
139,0
140,3
141,0
142,1
143,2
144,3
145,3
146,6
147,5
148,2
149,4
150,5
151,4
152,3
153,3
154,1
155,7
156,2
157,5
158,2
159,2
160,2
161,3
162,2
163,2
164,2
165,3
166,1
167,2
168,3
169,2
170,3
171,2
172,2
173,4
174,6
175,7
176,4
177,1
178,7
179,5
180,5
181,6
182,7
183,5
184,9
185,8
186,6
187,7
188,5
189,7
190,8
191,4
192,6
193,6
194,6
195,6
196,9
197,6
198,7
199,9
200,6
201,5
202,9
203,6
204,8
205,2
206,7
207,7
208,8
209,8
210,9
211,9
212,9
213,8
214,7
215,9
216,9
217,7
218,7
219,9
220,6
221,6
222,7
223,6
224,8
225,6
226,6
227,4
228,4
229,5
230,5
231,5
232,6
233,5
234,6
235,5
236,4
237,7
238,4
239,5
240,7
241,5
242,5
243,5
244,4
245,5
246,4
247,5
248,3
249,4
250,3
251,3
252,3
253,3
254,6
255,6
256,2
257,1
258,2
259,3
260,3
261,4
262,2
263,3
264,2
265,2
266,3
267,3
268,2
269,1
270,2
271,5
272,3
273,4
274,1
275,2
276,2
277,3
278,2
279,2
280,2
281,2
282,1
283,1
284,0
285,0
286,1
287,1
288,5
289,2
290,1
291,2
292,1
293,1
294,1
295,1
296,1
297,2
298,0
299,2
300,3
301,2
302,2
303,2
304,2
305,2
306,1
307,2
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
