height,forkscount
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,5
52,2
53,0
54,2
55,5
56,5
57,3
58,2
59,0
60,1
61,4
62,1
63,0
64,2
65,2
66,1
67,0
68,0
69,1
70,3
71,0
72,0
73,3
74,1
75,4
76,0
77,1
78,0
79,0
80,1
81,2
82,1
83,0
84,1
85,1
86,1
87,0
88,2
89,0
90,3
91,3
92,2
93,1
94,2
95,2
96,2
97,0
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,1
117,0
118,1
119,1
120,0
121,0
122,1
123,0
124,0
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
