height,"25th percentile of propagation","50th percentile of propagation","75th percentile of propagation"
199,172972,"514500.2",2140227
200,242924,787278,2033419
201,298233,1109900,2294450
202,259206,816273,2163021
203,278970,1147622,2397024
204,861383,3844611,7959871
205,"2394986.8571428573","4708719.675585284",8261666
206,2197035,"4918371.076923077","7570994.444444444"
207,1986359,"4050716.6666666665","7011707.5"
208,475854,3521352,5387072
209,642286,3145408,5832145
210,650039,"1987982.5",4828457
211,727810,"3783766.666666667","5074351.25"
212,"586504.3333333334",2691049,4377619
213,1392807,2709779,4535378
214,2526082,5374203,"7726166.9523809515"
215,2544249,4907415,"6854970.4"
216,"1998449.9166666667","3837946.0999999996","6699946.428571428"
217,2222319,4992032,8296715
218,3361008,3755792,5961915
219,"227938.5","882602.6",5105756
220,229371,"987364.5",5942801
221,1125562,1953611,7074424
222,237150,497810,6402776
223,272841,"1476320.5",8226150
224,273318,1584914,8880381
225,285920,801587,4547110
226,353290,1458183,5781502
227,286225,1344304,6004604
228,274021,1292010,7102255
229,"287679.5",512323,4158913
230,"688036.5","980200.6666666666","5484911.2"
231,1794304,"1896388.8",6290335
232,134841,"713714.5",5823445
233,480553,1933222,8960582
234,356148,"1323247.75",7694550
235,225599,526719,5486190
236,255798,513003,4921435
237,"502832.25","4924961.714285715",7924047
238,"680963.2222222222","3563173.7802197803",5286588
239,1794657,3554900,5085821
240,697344,2886279,4387838
241,688986,2520448,4276582
242,354035,"1679123.8",3766992
243,251220,895450,2877377
244,266689,549095,3767706
245,171626,519938,"5004758.2"
246,225867,"544096.6",4398715
247,211022,840776,5819867
248,390617,1023008,9077510
249,554964,835499,7263190
250,561483,956428,6541587
251,580965,1429820,5858108
252,400296,1851910,8342952
253,502006,4422751,9584707
254,209042,931659,3436155
255,264138,662074,3140683
256,491276,913544,5109875
257,592016,"930116.5",5006372
258,"465422.75","793599.1666666666","8506330.25"
259,230409,578313,7807741
260,163881,291968,8352724
261,235393,834086,10036146
262,888464,1708295,11014858
263,254978,865308,11341381
264,1637392,1892455,11901843
265,626018,1170517,17263624
266,739012,993955,10526177
267,645647,1024051,9444025
268,417537,1122523,11477092
269,568007,1529038,12590071
270,416964,1142234,20117403
271,"372746.3333333333",995389,2366773
272,540836,1607975,20126938
273,533313,1597875,12380456
274,1066288,2032658,11367376
275,"1144736.5","5450928.857142857","5965656.666666667"
276,769557,1717675,3428050
277,941008,1371130,4305272
278,385977,843033,6746006
279,232595,593101,1441706
280,235877,679489,2260764
281,757432,1227270,2590256
282,"386998.6666666667",630483,16834792
283,284273,"781592.5",3769633
284,144204,"436259.3333333333",4327509
285,135444,627082,17435882
286,510484,1186521,19410413
287,"202468.5",756185,77239369
288,"207353.4",622288,1918446
289,237984,958124,2716175
290,581501,1412184,3793205
291,279353,611231,1882023
292,496909,947879,3846199
293,124772,930149,5515426
294,370411,1421127,7410218
295,167481,947637,7639249
296,291085,1479434,9300191
297,387591,1894487,8590375
298,"480910.5",2264802,9856152
299,113818,416270,7144161
300,315242,492865,1397731
301,222766,"833670.5",2055048
302,"148973.5",840711,2373406
