height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"102,589","331,962","485,921","796,067","917,273.4"
1,2,2,"90,218.6","317,941","472,839","787,027","908,261.8"
2,3,3,"76,087","294,322","449,995","765,551","885,534.4"
3,4,4,"56,747.6","261,831","417,733","733,351","853,815"
4,7,7,"49,838.6","243,599","399,350","715,802","838,517.2"
5,8,8,"34,636.6","222,522","378,194","694,495","818,215.2"
6,9,9,"17,545.6","194,239","349,710","666,337","790,022"
7,10,10,"6,094.8","175,598","332,477","646,913","771,956"
8,11,11,"1,185.2","157,566","314,237","626,664","752,605.8"
9,12,12,"3,256.6","122,467","281,407","591,132","718,630.4"
10,13,13,"3,418.4","101,310","263,394","569,899","699,127.8"
11,14,14,"1,971.2","99,132","262,467","572,456","698,011"
12,15,15,"3,894.4","93,259","257,452","566,782","692,196.8"
13,16,16,"2,275.4","75,009","241,953","548,875","676,063.6"
14,17,17,"1,855.2","73,477","240,818","547,759","675,142.6"
15,18,18,"2,938.2","55,877","223,865","530,551","658,236"
16,19,19,"2,786.4","43,503","212,149","518,677","647,415.8"
17,20,20,"4,164.8","14,252","183,975","489,709","618,188.4"
18,21,21,"1,821.8","9,727","179,984","485,218","615,161"
19,22,22,"1,617.2","6,788","159,635","463,719","595,366.8"
20,23,23,"1,443","5,313","139,391","442,237","575,428.2"
21,24,24,"2,094","4,456","130,175","433,013","567,461.8"
22,25,25,"4,186.4","7,445","113,210","416,347","551,619"
23,26,26,"3,538.2","5,668","91,161","394,481","530,397.2"
24,27,27,"1,174.4","7,154","85,112","388,582","526,193.8"
25,28,28,"3,124.8","5,907","65,979","368,391","506,706.2"
26,29,29,"10,903.6","14,304","62,857","365,476","504,647.6"
27,30,30,"1,741.4","4,335","48,252","348,191","487,109.2"
28,31,31,"2,621.6","3,870","16,551","315,384","455,783.6"
29,32,32,"2,629.6","6,929","16,035","314,560","455,571"
30,33,33,"2,813.6","5,637","7,289","303,019","444,065"
31,34,34,"2,295.2","6,043","13,263","270,979","412,631.2"
32,35,35,"6,116","8,952","12,995","257,036","400,258"
33,36,36,"3,330.4","6,820","12,060","251,142","393,364.8"
34,37,37,"2,922.4","4,401","7,520","234,020","370,198.8"
35,38,38,"2,094.8","4,033","8,366","226,795","361,016"
36,39,39,"1,878","5,698","6,657","206,767","344,689.2"
37,40,40,"2,504.6","4,656","6,902","188,422","330,158.2"
38,41,41,"2,582.6","6,808","8,930","180,248","323,553"
39,42,42,"3,312.6","4,429","6,059","150,658","293,627.2"
40,43,43,"7,123.6","9,885","11,602","143,317","286,002.6"
41,44,44,"2,299.8","3,712","6,828","134,813","281,532.6"
42,45,45,"9,873.8","11,755","14,104","116,820","263,839.8"
43,46,46,"9,566.2","11,950","16,844","106,630","261,030"
44,47,47,"10,171.2","11,486","13,106","77,633","232,845.8"
45,48,48,"3,012","4,740","6,757","64,365","218,009.2"
46,49,49,"909.8","2,022","5,797","68,109","218,710"
47,50,50,"2,203.8","4,383","7,966","42,621","195,493"
48,51,51,"1,630.6","2,785","6,455","37,236","192,317.2"
49,52,52,"4,514.6","6,142","8,791","30,033","170,648.2"
