height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,199584,339563,521956,"656826.5","715366.5"
1,2,2,169047,"308159.5","490419.5",625794,"685593.5"
2,3,3,158023,"297310.5","480774.5",615163,674715
3,6,6,142778,"282163.5",465560,"599329.5",658821
4,7,7,"105607.5",246513,428717,"563101.5",621689
5,8,8,"84300.5",225393,408585,"543871.5","602056.5"
6,9,9,76131,217423,"402302.5",536199,"594657.5"
7,10,10,"66894.5","208936.5","393702.5","527091.5","586242.5"
8,11,11,51037,"193906.5",378887,"511117.5","570850.5"
9,12,12,"18435.600000000002",133966,355306,480711,"554035.6"
10,13,13,"9338.2",118608,339707,464629,"538151.6"
11,14,14,"3150.4",88800,310016,434197,"510082.19999999995"
12,15,15,"2827.0000000000005",77993,298817,423634,"499764.39999999997"
13,16,16,"3145.8",76468,296043,420373,"496983.19999999995"
14,17,17,"2241.2000000000003",61597,278994,402916,"479641.19999999995"
15,18,18,"5325.4",39914,258495,380391,458364
16,19,19,"2557.2000000000003",33432,251296,373225,"451051.19999999995"
17,20,20,"9818.6",15374,232080,354026,"432433.19999999995"
18,21,21,"1929.8000000000002",3460,218445,342185,"419314.2"
19,22,22,"3630.2",12957,173837,300061,"374515.4"
20,23,23,3133,20840,168422,296600,371173
21,24,24,"5480.4",18291,166091,293589,"368450.8"
22,25,25,"3479.6",19955,162400,290165,"365028.8"
23,26,26,"1713.2000000000003",6820,134443,262574,"338503.8"
24,27,27,"3364.4",7530,127558,256158,"333740.6"
25,28,28,"1997.8000000000002",6302,113458,242442,"320317.6"
26,29,29,"4205.8",6718,88343,217543,"298466.8"
27,30,30,"2876.6",6800,46227,176685,257242
28,31,31,2354,7044,47692,175386,"255870.4"
29,32,32,"4797.6",9632,35526,163689,"247190.8"
30,33,33,"2169.4",5849,21499,148357,"233216.59999999998"
31,34,34,2621,4340,7900,125991,"212011.2"
32,35,35,"2038.6",3352,9053,118325,"204413.2"
33,36,36,2313,6044,8860,89134,174313
34,37,37,1891,6335,9698,91220,"173883.4"
35,38,38,"1929.4000000000003",3348,4759,74323,"156555.8"
36,39,39,"1447.6000000000001",3787,6751,55882,"139522.4"
37,40,40,"2869.2000000000003",5014,8686,55358,138581
38,41,41,4254,5501,8946,37200,121019
39,42,42,"1874.2000000000003",3811,5262,26643,110395
40,43,43,"2235.6000000000004",4107,5304,9133,"90717.6"
41,44,44,1850,3832,6558,8271,"77437.6"
42,45,45,"3493.8",5320,6647,8265,"44187.399999999994"
43,46,46,2349,3880,6120,8809,"38744.399999999994"
44,47,47,"1840.6000000000001",2855,4954,14754,"30218.199999999993"
45,48,48,"1955.6000000000001",3235,6707,8665,"17846.999999999993"
46,49,49,"1144.2",2093,2842,5378,"13661.599999999995"
47,50,50,2362,3700,5730,8859,"14105.599999999986"
48,51,51,"3510.6000000000004",4512,6882,11636,"23516.599999999973"
49,52,52,"1979.2000000000003",2952,4178,6892,"17717.599999999984"
50,53,53,"1667.4",2653,3879,9822,"20076.79999999999"
51,54,54,"5248.6",5874,8951,11067,"14839.39999999999"
52,55,55,"2628.6000000000004",3087,4185,7993,"19938.399999999994"
53,56,56,"2505.6000000000004",3326,6205,7137,"15482.399999999998"
54,57,57,"4328.2",5782,6515,9521,"11684.400000000001"
55,58,58,"2814.4",4107,6533,8602,"14348.999999999993"
56,59,59,1246,2554,5227,6557,"12114.599999999988"
57,60,60,"1154.8000000000002",2245,4829,7390,"11258.599999999999"
58,61,61,"679.6",1226,5550,9697,11913
59,62,62,1322,1773,3299,7550,"11528.399999999994"
60,79,79,3219,4482,6216,11058,28282
61,82,82,4390,5482,7189,8533,16929
62,87,87,"2129.2000000000003",3339,4159,5296,"10078.799999999997"
63,106,106,2801,3869,7645,12965,21540
64,113,111,1598,3767,6410,9691,17533
65,114,114,3060,7171,11773,19992,32065
66,119,117,3584,7416,10582,15557,24624
67,120,120,1723,4814,"7487.5",16717,26351
68,121,121,2890,5095,7327,14765,30809
69,123,122,2167,3612,5307,15037,26707
70,133,133,"1326.3000000000002",2124,6253,10086,"26348.099999999948"
71,138,138,"2261.6000000000004",3424,4658,7371,"19642.599999999995"
72,139,139,"2076.6",3286,3931,6762,"19954.199999999993"
73,145,145,1504,2280,5432,31888,34719
74,153,150,3057,4725,7649,14625,20093
75,155,155,"2522.1","3592.5",6158,9315,"48746.39999999988"
76,159,159,"5251.2",7040,9608,"15844.5","40620.09999999996"
77,160,160,4925,6107,9816,23158,44462
78,161,161,3056,4319,5642,10241,24806
79,162,162,"4465.6",5874,7834,10170,"20645.4"
80,163,163,"3016.6000000000004",4626,5266,7875,"19000.59999999999"
81,164,164,2178,2803,3403,4356,"9162.399999999994"
82,165,165,"1561.4",2255,3444,6122,"12029.199999999997"
83,166,166,"2038.2000000000003",2627,"3772.5","5500.5","28992.299999999956"
84,167,167,"920.6000000000001",1495,"3603.5",6575,"16635.899999999987"
85,168,168,"5063.400000000001",6244,6774,9291,"17433.799999999996"
86,169,169,"1118.4",2255,3117,4325,"11273.199999999999"
87,170,170,941,1460,2080,3718,"6818.599999999996"
88,171,171,3310,4077,4820,6202,"9668.799999999996"
89,172,172,1223,1872,2163,3310,"12507.799999999997"
90,174,174,"1893.4",2283,2817,3701,"4543.599999999999"
91,177,177,"3837.2000000000003",4793,6064,13105,"20918.69999999999"
92,180,180,"1461.3000000000002",3511,"4780.5",6636,"17611.99999999992"
93,181,181,"2614.2000000000003",3959,6160,14105,"60107.99999999992"
94,193,193,1768,3090,5529,17125,51740
95,198,198,8652,10711,12436,25316,36252
96,199,199,"4145.1",6093,8113,10683,"14980.69999999999"
97,221,221,4762,6860,7909,14866,"16651.4"
98,238,238,"1902.8000000000002",5049,"7813.5",9511,"25321.699999999924"
99,383,269,"9559.900000000001",13226,16316,19786,"30229.1"
100,544,544,12930,16401,19511,23597,"30321.999999999993"
101,1033,1033,4362,6717,10266,12044,"27109.79999999999"
102,1211,1211,4254,6642,9342,24847,46184
103,1387,1334,2618,8130,12688,26055,44530
104,1517,1444,5834,9155,"11696.5",23491,32898
105,1657,1657,5100,8610,11413,15032,"32377.79999999999"
106,1897,1897,4046,5531,9056,12318,"30751.199999999997"
107,2167,2167,5072,6340,7621,12472,43635
108,2219,2182,6153,9743,13082,16681,32298
109,2224,2224,5761,7517,9986,23419,36009
110,2443,2443,3612,8269,11404,24859,37104
