height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"104122.40000000001",263795,403258,575428,"640839.5999999999"
1,2,2,"72874.80000000002",224614,364584,536639,"603084.6"
2,3,3,"65569.00000000001",211899,351857,524215,"590470.7999999999"
3,4,4,"63472.40000000001",208232,348199,520787,"586861.3999999999"
4,5,5,"55320.40000000001",194663,334475,507205,"573207.6"
5,8,8,"43735.600000000006",174947,314793,487756,"553563.3999999999"
6,9,9,"35867.40000000001",163290,303124,476257,"542142.8"
7,10,10,"33909.00000000001",158557,298425,471924,537677
8,11,11,"26641.400000000005",146866,286676,460625,"526247.6"
9,12,12,"12326.600000000002",123167,263077,437035,"502775.39999999997"
10,13,13,"6676.200000000001",113633,253420,427677,"493435.6"
11,14,14,"1300.4",101909,241742,416625,"481813.8"
12,15,15,1018,80193,220022,394967,"460204.6"
13,16,16,"1348.8",77527,217281,392268,457584
14,17,17,"1528.0000000000002",75836,215591,390677,"455935.99999999994"
15,18,18,"1813.2000000000003",43112,182980,358111,"423375.39999999997"
16,19,19,"4267.6",34596,174406,349865,"414937.79999999993"
17,20,20,"2361.6000000000004",28330,167957,343574,"408668.6"
18,21,21,"2929.4",11681,151455,327273,392146
19,22,22,"1677.8",6073,145747,322317,"386591.79999999993"
20,23,23,1818,2468,140390,316889,"381037.39999999997"
21,24,24,"1699.6",2111,134530,310381,374477
22,25,25,"1765.6",2503,109831,286074,"349954.6"
23,26,26,"1039.8000000000002",1883,106213,282900,346461
24,27,27,"1449.8000000000002",2078,98488,275612,"338935.79999999993"
25,28,28,"1560.8",1924,90764,268156,"331646.79999999993"
26,29,29,"1176.6000000000001",1662,68074,245984,"309234.6"
27,30,30,1202,1816,58374,236651,"300209.19999999995"
28,31,31,1983,2432,38831,217398,"280698.6"
29,32,32,"3674.6000000000004",4283,28140,207493,"270883.19999999995"
30,33,33,"3641.8",4038,18475,198200,"261364.39999999997"
31,34,34,"1716.6000000000001",2233,2976,180626,"243908.59999999998"
32,35,35,"1468.8000000000002",1903,2125,160086,"223703.19999999995"
33,36,36,"3781.8",4517,5879,137862,"201477.99999999994"
34,37,37,"2558.8",3312,5178,129268,"193235.79999999993"
35,38,38,"1798.8000000000002",2864,3721,110702,"175027.79999999996"
36,39,39,1800,2565,3730,103845,"167713.59999999995"
37,40,40,"848.6",1405,2152,86754,"150516.79999999993"
38,41,41,"870.6",1476,1805,35551,"99453.79999999994"
39,42,42,"1643.4",2069,2547,16219,"79783.19999999995"
40,43,43,"909.8000000000001",1581,2001,9617,"73173.59999999995"
41,44,44,1176,1707,2092,2697,"48592.799999999945"
42,45,45,"4466.4",4832,5053,5221,"43995.199999999946"
43,46,46,"5222.6",5673,5992,6291,"39751.39999999995"
44,47,47,1346,1903,2306,2697,"33677.39999999994"
45,48,48,"11978.400000000001",12372,12629,13013,"29501.599999999944"
46,49,49,"895.5999999999999",1361,1499,1704,"13205.199999999964"
47,50,50,"890.6",1318,1629,2106,"12463.999999999967"
48,51,51,"2031.2000000000003",2346,2447,2658,"12848.999999999973"
49,52,52,"1030.4",1454,1606,1954,"13431.19999999998"
50,53,53,"8685.8",9110,9360,9849,"15338.799999999988"
51,54,54,"1610.0000000000002",2094,2323,2791,"3804.3999999999983"
52,55,55,"1370.2",1858,2114,2815,"4750.399999999998"
53,56,56,854,1331,1460,2603,"6078.399999999996"
54,57,57,"1125.4",1847,1972,2115,"5649.799999999996"
55,58,58,625,1068,1193,2344,"6089.999999999996"
56,59,59,"1150.4",1574,1854,2852,"12601.799999999992"
57,60,60,3394,3790,3961,4663,"6302.799999999997"
58,61,61,"1407.2",1769,1946,2292,"4123.999999999996"
59,62,62,1971,2303,2656,2819,"6426.399999999998"
60,71,71,1532,1807,1960,2556,"3631.6"
61,80,80,"1158.8",1372,1485,2243,"12501.999999999973"
62,81,81,"1099.6000000000001",1377,1736,3551,"9169.399999999969"
63,82,82,717,1049,2656,9121,11108
64,83,83,1886,2755,5823,11824,20976
65,84,84,"844.9000000000001",1529,7435,15923,"17447.099999999995"
66,85,85,945,1559,2433,10206,12834
67,88,88,1397,2342,5817,16474,"18121.999999999996"
68,89,89,943,1439,11754,13218,14729
69,90,90,3521,"4166.5","5232.5",6341,9860
70,92,91,997,1880,4718,9201,"12327.599999999955"
71,96,92,1164,"2138.5","2827.5",3528,9859
72,97,97,"754.4000000000001",1635,1798,2760,"8422.399999999998"
73,98,98,"1303.2000000000003",1625,2420,4948,"12396.999999999984"
74,99,99,737,1286,2135,5931,11371
75,100,100,744,1223,1481,2730,7627
76,101,101,"922.8000000000002",1132,1816,4630,"11592.199999999979"
77,102,102,1263,2260,12058,22078,27288
78,103,103,"1605.2000000000003",2792,16678,17680,"27479.999999999953"
79,106,106,1328,"3468.5",10356,12462,"25490.5"
80,107,107,"1558.9",2503,3619,7912,"18136.199999999997"
81,108,108,"2416.8",2780,3268,4951,"8517.8"
82,119,119,"783.8000000000001",1319,1701,2537,"8120.799999999994"
83,121,121,"2119.1",2742,"13760.5",17841,"30785.09999999999"
84,130,130,4577,"5618.5",7278,"13782.5",23273
85,141,140,607,2429,"4799.5","14051.5",28271
86,146,143,1365,2477,"3747.5",9542,21585
87,150,150,"582.9000000000001",1016,3049,6129,"20930.199999999993"
88,152,152,2830,3046,3760,9129,26069
89,153,153,"2055.6",2292,4222,"9562.5","23312.29999999999"
90,154,154,1349,2658,4314,9768,"17480.799999999996"
91,157,157,"1030.7000000000003",1785,5225,9922,"22270.399999999994"
92,165,164,"2784.5",4166,"9920.5",16949,21304
93,175,175,"1177.6",1990,6393,7991,"13373.999999999993"
94,176,176,1133,1952,2618,5307,"12720.399999999996"
95,177,177,"5388.4",5824,6139,6496,"11305.199999999997"
96,178,178,"1436.6000000000001",2220,2690,4104,"7331.799999999996"
97,180,180,"1111.6",1530,1789,2255,"5237.199999999999"
98,181,181,1778,2163,2648,4029,"5857.4"
99,182,182,908,"1125.5","1699.5",14039,23662
100,183,183,1473,2011,3511,"9791.5",15703
101,184,184,626,1156,1547,2738,12217
102,185,185,"850.2",1286,2123,5837,"10591.599999999997"
103,186,186,"1205.7",1878,"2304.5",3705,"12934.499999999949"
104,187,187,3596,3973,"4368.5",4691,"9108.499999999975"
105,188,188,1245,1795,2099,2555,"5014.199999999998"
106,189,189,"1407.8",1849,2329,4921,"6085.799999999999"
107,190,190,"1672.2000000000003",2355,2563,3576,"197128.99999999994"
108,192,192,"3257.6",3976,7179,11976,"21958.79999999996"
109,195,195,"1735.5000000000002",3119,5134,12921,"38929.799999999945"
110,198,197,"1961.9",3086,7930,19080,"23558.099999999995"
111,203,203,"1893.4",2629,3305,17141,"22416.199999999997"
112,207,207,"10606.8",11613,13109,25545,"31116.4"
113,216,216,"2254.5","3846.5","7300.5","12759.5","32576.999999999876"
114,217,217,"1457.1000000000001",2464,8695,"21201.5","30962.09999999987"
115,234,234,"1962.8000000000002",2941,4027,23079,"42021.99999999996"
116,268,268,"1703.2",3023,7101,19111,"42995.59999999999"
117,397,397,"1508.4",3832,11498,24562,"53558.6"
118,438,438,"1205.0000000000002",2568,8676,43342,"70854.39999999985"
119,500,445,"6462.6",7943,12852,41813,"76217.19999999987"
120,648,648,"1075.2",3541,6528,33964,"83913.4"
121,709,709,"10165.400000000001",12587,15111,38029,"89951.59999999999"
122,852,852,"1756.0000000000002",3229,3791,12466,"63372.39999999999"
123,1158,1158,"3151.2",4347,5422,15156,66832
124,1241,1241,"1860.8",2734,3683,11416,"69506.8"
125,1425,1425,"1565.2",2426,3425,6819,"70923.59999999998"
126,1512,1512,"843.0000000000001",1721,2918,7713,"72855.39999999997"
127,1544,1544,"1055.2",1697,3776,7475,"74684.59999999992"
128,1613,1613,"1673.6",2170,2736,7321,"70557.7999999999"
129,1747,1747,"2945.8",3701,5484,14438,"62273.79999999988"
130,1945,1945,"700.8000000000001",1267,2428,8467,"59275.39999999984"
131,2139,2139,2692,3353,4198,6983,"62443.19999999985"
132,2283,2283,1503,2319,3326,4172,"67091.59999999986"
133,2328,2328,"4257.200000000001",4730,"6187.5",9029,"82944.59999999983"
134,2867,2839,3908,4812,"5773.5",7769,"63374.099999999846"
135,4672,4672,"2708.4",3240,4514,18479,"97157.59999999995"
136,5219,4898,5468,6084,7027,13150,"84230.59999999989"
137,5889,5889,"1794.6000000000001",2717,4064,11207,"87448.79999999993"
138,6075,6075,"1373.4",2245,3782,10183,"91378.79999999992"
139,6205,6205,"1199.8",1996,2589,10979,"95214.99999999988"
140,6348,6348,"1213.6",1949,2962,9726,"97014.19999999987"
141,6513,6513,"1435.8",2384,3008,4980,"96557.39999999985"
142,6755,6755,"1307.2",2434,2994,4345,"97463.59999999982"
143,6928,6928,"1134.6",2082,2463,3954,"96275.39999999982"
144,7172,7172,"2286.2",2943,3560,8770,"86768.39999999982"
145,7689,7689,"4652.2",5319,6207,8007,"79002.5999999998"
146,8581,8581,"1140.8000000000002",2117,2754,3505,"64546.399999999834"
147,10632,10632,"2069.4",3386,3756,5769,"74002.59999999983"
148,11224,11224,"1395.2",1983,2659,4251,"63392.999999999854"
149,12812,12812,"2292.4","3476.5","15929.5",34885,"43996.49999999996"
150,13665,12916,1250,2083,17638,27872,65939
151,15300,15185,"1936.5",5200,14555,17160,"86398.20000000007"
152,16385,16385,1708,3370,4127,6639,"77812.99999999997"
153,17113,17113,"853.4000000000001",1937,2608,4277,"71527.59999999998"
154,17654,17654,"4607.200000000001",5792,6090,7079,"62298.59999999997"
155,18846,18846,1668,"2583.5","4437.5",12751,45985
156,19941,19770,1156,1759,4515,7166,56986
157,22910,20638,"1184.9",1918,"2852.5",5327,"56305.99999999999"
158,21109,21109,"7013.800000000001",7619,8190,10660,"53916.399999999994"
159,22546,22546,"1899.8000000000002",2453,3556,5602,"41126.99999999999"
160,23990,23990,"7085.200000000001",7936,9300,11905,"26057.999999999993"
161,27796,27796,5464,6366,7706,8159,"35928.99999999997"
162,29388,29388,"1889.2000000000003",2697,3548,5035,"34100.399999999965"
163,31829,31829,6819,7598,8258,8771,"40886.99999999996"
164,34554,34554,3755,5113,"6257.5",19676,49265
165,37330,37105,1551,2930,"3562.5",10835,50561
166,38611,38611,1006,2246,3350,4711,"58364.999999999985"
167,39713,39713,"2621.8",3585,3950,5367,"57953.59999999998"
168,41598,41598,"2070.6000000000004",2860,3380,4784,"63407.59999999999"
169,43807,43807,"1416.4",2842,3561,4058,"59631.599999999984"
170,46258,46258,"2343.8",2992,4084,4507,"42627.39999999997"
171,52991,52991,"2615.7000000000003",3654,4655,5404,48297
172,54073,54073,"2543.7000000000003",3041,"3544.5",4947,"50191.59999999998"
173,55431,55431,"1595.5",2253,"2981.5",3312,"50603.29999999999"
174,56487,56487,"2343.4000000000005",2733,3456,4559,"60204.19999999998"
175,61478,61478,"5198.1","5679.5","5976.5","6810.5","64288.999999999985"
176,62404,62404,"3613.2000000000007",4135,4288,5571,"73768.2"
177,67260,67260,"2330.9000000000005",3224,"3483.5",4789,"60922.49999999996"
178,73228,73228,"2709.8",3946,4022,5324,"66060.39999999997"
179,74568,74568,"2287.9",3104,"3607.5",4285,"54035.29999999983"
180,83640,83640,"4356.200000000001",5262,7711,29036,"88750.5999999997"
181,89127,88770,"3488.7000000000007",7083,8739,14183,"236194.99999999907"
182,122386,93838,3227,3674,6610,7399,36481
183,96036,96036,1670,3156,3335,4297,29116
184,102916,102916,1631,3951,5674,6402,43351
185,109148,108239,1972,3530,4913,5762,32415
186,113356,113356,6625,6987,7343,8419,17502
187,126174,126174,1808,5492,"6437.5",8208,9984
188,136476,136476,6318,6819,9916,10957,48931
189,146998,146976,2582,5802,6419,8705,30586
190,156306,156306,4842,5609,"8436.5",8771,14522
191,166588,166588,2611,6937,10474,11081,213696
192,181687,177421,2898,8478,13583,71345,393837
193,205437,178766,4457,12953,16457,39222,354750
194,228153,207073,4098,11844,"18317.5",35612,414254
195,261768,218899,5399,16430,75939,199975,413154
196,295384,251443,"3974.0000000000014",20291,87172,284445,"445645.1999999998"
197,307295,251803,"8149.5",48429,97924,327715,544256
198,340911,285418,8900,96429,"183857.5","285722.5",516397
199,319034,311158,"6290.6",67674,"148820.5",212435,"419759.99999999924"
200,352650,352650,5619,73791,"119309.5",193213,501711
201,386266,386265,9414,55930,92631,223268,"505520.9999999992"
202,419881,386768,5446,42174,124938,293057,452396
203,453496,433876,5146,82342,163435,302356,413814
204,487111,464456,"5452.400000000001","95802.5",272693,388479,492902
205,498071,481690,"21103.600000000002",129063,213528,294904,"425180.59999999986"
206,531687,498970,6077,137243,243801,293243,"400406.5"
207,565302,532585,7190,90040,130346,185262,301316
208,550741,550741,"27962.4",144491,334390,760390,"1122468.5999999999"
209,584356,584356,47166,198492,426166,704005,1002917
210,617972,617971,6483,121514,324191,567942,946763
211,651586,646110,28298,158117,352316,556156,916483
212,685200,679725,"12664.600000000006",94393,342725,516268,828096
213,718815,713340,"6628.2",72517,306272,544483,"769295.6000000001"
214,743618,743618,14170,219639,393761,600371,794519
215,766212,766212,10950,73173,220991,379450,"634793.3999999993"
216,799827,799827,6795,46325,205579,494701,"713237.3999999997"
217,833443,833442,"35318.4",180032,480880,825593,"1854259.4999999995"
218,867058,867057,"7134.400000000001",189972,504938,865670,"1886085.9999999974"
219,900672,900671,"12769.5","168041.5","389824.5","725462.5",1668654
220,934287,934285,7723,154107,405646,748016,1549397
221,967903,967901,"7562.000000000001",182946,406350,711562,"1554415.9999999995"
222,1001518,1001515,6027,145218,"364586.5",675805,1929902
223,1035133,1035130,"6250.4",130531,544765,1399760,"2452435.3999999976"
224,1068748,1068745,5811,213278,507048,"943160.5","2244492.5"
225,1102364,1102362,"5664.8",104277,369123,954518,2562786
226,1135977,1127351,5116,110252,474157,1051252,2020507
227,1169592,1127352,5824,140812,764725,"1389754.5",2682889
228,1203207,1127909,5414,333433,"822496.5",1403862,2106736
229,1194581,1161523,8502,319361,751803,1394631,2604057
230,1228196,1184713,6403,277615,615420,1350605,1858965
231,1261811,1184714,24881,356655,"901362.5",1655671,2974386
232,1295425,1194866,"31235.800000000017",352463,879422,1631594,"2716022.9999999963"
233,1318944,1220542,5837,344974,865067,1534882,2943311
234,1318945,1239940,"5130.4",225433,620639,1558290,"2905124.9999999995"
235,1352560,1273555,5614,245402,915549,1579693,2852384
236,1352789,1321386,"5251.8",222644,860809,1568903,2798118
237,1386403,1355001,"10591.2",333370,"1048502.5",1638707,"3071760.399999999"
238,1420018,1388616,"5410.900000000001",134871,"611278.5",1548738,"2816910.7999999993"
239,1422231,1422231,"4725.6",231680,915706,1635941,"3152384.599999996"
240,1455847,1451118,"4893.6",191471,628433,1463677,"2893058.5999999996"
241,1489462,1482295,4902,329784,1048279,1636874,3586149
242,1523077,1482888,5018,235269,898804,1631679,3014507
243,1556692,1485145,4141,319724,904460,1482343,3006371
244,1583134,1486873,2347,327639,1042611,1635610,2995776
245,1520488,1488265,4766,484496,1183262,1888900,2967612
246,1507930,1507930,119840,472068,989384,1581081,2955649
247,1525180,1525180,111865,560210,980871,1438219,2957131
248,1558795,1558795,5145,194333,974950,1449201,3057799
249,1592410,1592410,4929,212677,934742,1399322,2995906
250,1626025,1626025,6198,212239,925636,1395782,2981355
251,1659641,1659640,4875,245119,555703,1374536,"2944278.4"
252,1693255,1668372,4404,126717,274882,1083959,"2885995.5999999996"
253,1726870,1671746,"3406.1000000000004",90973,"392777.5",1259023,"2867200.7"
254,1760485,1705361,4272,83821,476364,1442017,2884470
255,1792693,1765373,4589,167871,808769,1464806,3002072
256,1798988,1765374,639,165439,799566,1439180,2990780
257,1832603,1765375,5193,203859,"906108.5",1449350,2990498
258,1866218,1765376,6109,207510,1008041,1450871,2983917
259,1765377,1765377,37308,319837,999866,1451155,2970334
260,1772066,1772066,24703,195842,775321,1442009,2969288
261,1775063,1772067,2575,170430,752422,1424695,2956971
262,1790541,1790541,13774,284429,"967857.5",1440160,2966457
263,1790542,1790542,12637,283539,"968900.5",1448603,2976078
264,1790543,1790543,2575,273812,961363,1446763,2977096
265,1790544,1790544,2810,"201816.5",841432,1441386,2981983
266,1795827,1794452,3063,179852,732805,1435898,2989377
267,1829442,1807872,5246,139920,694929,1402019,2959119
268,1834787,1834787,3232,162691,"798923.5",1418655,2968739
269,1834788,1834788,31003,222802,916221,1430470,2970964
270,1834964,1834964,17077,"144201.5",774775,"1407533.5",2967430
271,1836501,1834965,864,"138260.5","764887.5","1404676.5",2969124
272,1835248,1835248,2116,131757,645272,1382198,2968470
273,1868863,1842124,4020,128277,640255,1382751,2974655
274,1866990,1866990,16494,135781,844394,1419210,2971244
275,1871863,1871863,10537,133560,837596,1422870,2974980
276,1871864,1871864,7847,135412,835199,1430080,2982504
277,1872475,1872475,1613,129388,825041,1367875,2981531
278,1906090,1872923,1026,75643,603431,1366744,2986189
279,1939705,1873839,1899,119249,710368,"1406640.5",2994670
280,1951955,1874187,1230,101236,598368,1369290,2999687
281,1962090,1874840,1681,125373,802847,1447564,2997281
282,1908455,1876569,1044,100403,"687282.5","1402831.5",2997700
283,1878254,1878254,2203,116868,784879,1451050,2999174
284,1879390,1879390,1436,114112,777819,1454069,3001239
285,1883290,1883290,1988,131801,"835397.5",1461775,3007409
286,1883534,1883534,1535,113576,773478,1465710,3010207
287,1885511,1883535,868,102705,544696,1336953,3004114
