height,"Max tx","Min tx","5th percentile of propagation(ms)","25th percentile of propagation(ms)","50th percentile of propagation(ms)","75th percentile of propagation(ms)","95th percentile of propagation(ms)"
0,1,1,"225125.5",387375,533194,712369,"846901.5"
1,2,2,"209129.5",366477,"515216.5",696270,827549
2,3,3,"207417.5",364842,"514429.5","695791.5","827546.5"
3,4,4,177718,"335183.5",485480,"667279.5","799271.5"
4,7,7,"153992.5",311601,462625,"644147.5",776443
5,8,8,47112,223450,399905,588135,"719429.2"
6,9,9,"25628.200000000004",193844,372831,559236,"690599.5999999999"
7,10,10,"11971.2",167432,348457,533878,"664858.3999999999"
8,11,11,"14065.400000000001",147675,333950,515679,"648360.5999999999"
9,12,12,"29777.600000000002",119902,308361,490679,"622048.7999999998"
10,13,13,11897,63136,253228,436130,"567202.5999999999"
11,14,14,"6787.400000000001",37362,228371,411740,"543305.5999999999"
12,15,15,"8500.4",10955,196950,382270,"511488.19999999984"
13,16,16,"10199.2",11443,188960,374409,"502750.39999999985"
14,17,17,"11945.6",13505,177719,361551,"488019.9999999999"
15,18,18,12920,13880,141402,324442,"451217.59999999986"
16,19,19,12567,13306,117661,300439,"428105.7999999999"
17,20,20,5963,6583,85987,267044,"395957.7999999999"
18,21,21,"3753.4000000000005",4087,79640,260370,"388363.9999999999"
19,22,22,"24800.4",25168,74821,254621,"384110.7999999999"
20,23,23,"4608.8",5135,43237,226480,"354319.9999999999"
21,24,24,"6299.6",7143,14588,199632,"326267.7999999998"
22,25,25,"6913.2",7428,9044,196590,"321955.7999999998"
23,26,26,"5758.4",6165,6654,181691,"306104.59999999986"
24,27,27,"9826.6",10378,10755,148925,"274857.39999999985"
25,28,28,"5137.4",5631,6385,123485,"250650.19999999984"
26,29,29,"10373.6",10701,12600,118635,"248780.59999999986"
27,30,30,"9043.8",9376,9623,82512,"214140.19999999984"
28,31,31,"2322.4",3222,3955,53362,"184548.79999999984"
29,32,32,"4661.8",5185,7393,45388,"177694.79999999984"
30,33,33,"3545.4",3895,5519,48124,"177312.39999999985"
31,34,34,"3255.6",3707,4640,31116,"160203.39999999985"
32,35,35,"1643.2000000000003",2062,3633,9413,"138505.19999999984"
33,36,36,"1863.6",2482,4478,10110,"138825.99999999985"
34,37,37,1214,1636,2312,7716,"130293.59999999985"
35,38,38,1457,1938,2950,6139,"100326.99999999985"
36,39,39,"1250.8000000000002",1686,4516,11066,"100511.59999999985"
37,40,40,"2400.8",2790,4825,7806,"84711.19999999984"
38,41,41,2640,2981,4767,6749,"61558.99999999984"
39,42,42,"1199.4",1496,2917,4299,"54763.399999999834"
40,43,43,1503,1765,2211,8907,"47039.39999999996"
41,44,44,"5307.2",5593,7386,12107,"39780.39999999998"
42,45,45,"7329.6",7639,8521,11416,"41972.79999999999"
43,46,46,"5540.2",5908,7185,15108,"43797.59999999999"
44,47,47,"1879.6",2132,4461,12717,43113
45,48,48,"1646.6000000000001",2040,4747,9766,"31327.799999999996"
46,49,49,"922.8",1545,3971,11887,"30789.99999999999"
47,50,50,1933,2383,2574,7142,"39363.79999999997"
48,51,51,"783.4",1074,3147,7183,"39293.39999999997"
49,52,52,"3428.3999999999996",3767,4044,12685,"18988.799999999996"
50,53,53,"895.2",1231,2034,10769,"34934.799999999945"
51,54,54,"1344.6000000000001",1713,2691,12434,"38071.99999999995"
52,55,55,"5782.4",6369,8785,15141,"41474.799999999996"
53,56,56,"751.0000000000001",1382,2759,9306,"22233.59999999999"
54,57,57,"3839.2000000000003",4867,6734,11936,"21132.999999999985"
55,58,58,2019,2435,3714,16069,"26906.19999999998"
56,59,59,"2858.6000000000004",3257,4435,8935,"18830.79999999998"
57,60,60,"2253.2000000000003",2980,3960,8659,"12969.599999999995"
58,61,61,"1662.4",2360,7689,18912,"28824.399999999998"
59,62,62,"1245.4",2356,3403,23189,"34077.2"
60,95,95,5847,"8339.5","15720.5",26817,"99882.5"
61,104,104,"749.1999999999999",1433,12969,31208,"110528.59999999999"
62,107,105,"3756.1",4420,"11825.5",23932,"103743.29999999996"
63,120,120,1307,1710,10045,31886,98534
64,122,122,666,1188,11509,20219,88686
65,125,125,1393,1990,4759,15779,91592
66,126,126,"702.4000000000002",938,4711,"23162.5","77086.6999999999"
67,128,128,"890.4000000000001","1199.5","5702.5","21177.5","74396.39999999992"
68,130,130,"1076.4",1575,1806,17876,"77959.19999999998"
69,131,131,1647,2341,2551,15241,"76371.79999999999"
70,132,132,"858.4000000000001",1188,3850,13337,"70345.39999999998"
71,141,141,"1478.8",1965,3908,21527,"52914.39999999998"
72,152,152,730,880,2508,16930,37541
73,153,153,927,1029,4517,8241,18294
74,154,154,"2782.8",3043,3562,5032,"20776.799999999916"
75,155,155,3001,3701,4277,8863,"20704.59999999998"
76,156,156,"3117.8999999999996",3618,"4188.5",5621,"10363.599999999979"
77,157,157,"2464.8","2669.5","3141.5","5572.5","38086.09999999993"
78,158,158,767,1034,2017,6139,19116
79,159,159,"2788.5000000000005","3514.5",3851,5514,"15664.699999999964"
80,160,160,"6741.8",7152,7488,11399,"22550.799999999996"
81,161,161,"981.2",1274,1676,7042,10026
82,162,162,"1111.4",1439,2081,4013,"34296.59999999998"
83,163,163,897,1256,2392,4133,"25029.19999999999"
84,164,164,"1467.6000000000001",1747,"3198.5","7300.5","43219.199999999946"
85,165,165,3564,3922,4574,9400,38209
86,168,167,"713.8000000000001",871,2097,7725,"24205.79999999997"
87,179,179,"1800.1000000000001",2379,2533,6936,"16449.59999999995"
88,180,180,"1434.6000000000001",1851,2286,4719,"19042.599999999984"
89,182,182,"1154.2",1456,2030,5706,"12718.599999999988"
90,190,190,"940.2",1270,1830,3715,"10267.599999999997"
91,191,191,"1250.8000000000002",1883,2051,3082,"16538.99999999998"
92,192,192,2503,2735,3277,6748,"12985.799999999988"
93,193,193,"2252.2",2950,3058,4850,"9471.999999999993"
94,194,194,"4260.6",4560,4963,7300,"36064.6"
95,249,249,"1075.8",1403,2876,6635,"42678.59999999996"
96,500,500,"1393.4",2125,5975,8606,"30753.399999999958"
97,712,712,"10073.6",11172,11701,16893,"37134.999999999956"
98,1128,1128,"5583.8",6037,6821,9753,"30505.79999999997"
99,1389,1389,"7394.600000000001","7974.5",10319,"21111.5","44085.79999999991"
100,1802,1593,"1356.1000000000001",1681,7703,12883,"24575.09999999984"
101,1922,1922,1404,1811,8598,17276,59710
102,2000,1971,968,1340,5138,10606,56844
103,2006,2006,"4854.2",5165,"5498.5",18101,"64864.79999999986"
104,2128,2117,"1231.3000000000002",1908,4709,8764,"50786.399999999856"
105,2499,2499,"1203.6000000000001",2116,5367,13648,"58107.7999999999"
106,3173,3173,1911,2052,5730,20684,71004
107,5353,4264,3712,4468,8686,21770,39922
108,5906,5906,1739,2811,5165,8494,"31545.79999999996"
109,7244,7244,"1719.3000000000002",1927,"5796.5",14107,"46811.499999999905"
110,8483,8178,11918,"13564.5",16255,22051,40372
111,9323,8484,7006,8074,19756,73239,88856
112,12581,10905,"2453.6",7975,25324,31486,"60847.6"
113,15318,14139,"3674.8000000000006",4941,16569,29100,"57146.799999999974"
114,16925,16925,2100,3044,6107,11579,"41852.2"
115,18492,18492,"10579.400000000001",12199,"16329.5",25141,"38012.19999999998"
116,21813,21384,9700,10437,"11698.5",20835,"45434.699999999975"
117,23082,23082,1805,2284,10196,20522,"34615.599999999984"
118,25491,25491,"2227.4000000000005",2742,8211,"17795.5","57378.09999999988"
119,29939,28899,3767,4341,16755,29819,72778
120,39553,31856,"13801.400000000001",21167,24320,30762,"65399.39999999998"
121,44091,44091,"11685.6",14931,17299,26800,"68631.79999999999"
122,51087,51087,"3542.2",5223,9463,14774,"60583.59999999998"
123,52897,52897,"2061.6",2577,6593,11806,"78011.39999999997"
124,54076,54076,"1558.0000000000002",2297,8106,14946,"105412.39999999994"
125,56941,56941,"2132.2000000000003",3206,6458,13269,"104456.59999999986"
126,62043,62043,6237,"22671.5","241520.5","471706.5","756494.2000000001"
127,92354,64566,39579,116395,"301936.8333333333",457488,702536
128,100129,79388,58480,141640,292005,394814,613701
129,133416,92914,28108,139120,223066,316732,570874
130,167031,103568,"11761.300000000001",110396,179781,"255600.5",494088
131,200646,200646,20246,41157,102922,212553,401633
132,210899,201879,21488,56517,91176,175680,365150
133,231338,211049,"43286.60000000001","86781.5","217416.5",288925,"585362.5999999992"
134,226901,222920,29827,127222,186477,272223,632703
135,260439,231093,18556,85318,159923,271804,"517932.1999999994"
136,271761,264708,7981,57240,132478,252884,489803
137,298323,291525,"33642.2",79859,"160664.5",231631,"922597.5999999953"
138,331938,331938,7748,86632,"132009.5",226938,928573
139,365552,365552,61931,181883,"338954.5",478199,854071
140,399167,381985,"26553.80000000001",119154,256415,383234,"599244.1999999996"
141,432782,410391,22880,110178,223489,412055,732898
142,444006,444006,93519,171475,"321899.5",457891,840943
143,477621,477086,8115,53961,166779,331853,"733138.4000000007"
144,505449,505449,8941,99093,"192563.5",368953,748451
145,539064,539064,52226,93055,219874,395085,"663258.7999999996"
146,557386,549554,"37888.399999999994",102011,236230,332643,"615200.8"
