BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,"94,989.8","259,249","406,132","514,254","633,181"
1,1,2,2,0,26,"78,614.6","234,792","381,467","489,714","608,480.6"
2,1,3,3,0,5,"76,937.8","231,362","376,951","485,671","603,780"
3,1,4,4,0,17,"66,248.4","216,330","360,618","469,222","587,089.2"
4,3,7,7,0,27,"50,992.6","190,620","334,270","442,865","560,648.8"
5,1,8,8,0,24,"36,377","167,254","311,242","419,992","537,408.4"
6,1,9,9,0,18,"26,789.4","150,180","293,926","403,009","520,188.6"
7,1,10,10,0,14,"18,218.4","136,969","280,435","390,628","506,990.8"
8,1,11,11,0,9,"13,591.2","128,503","272,097","382,212","498,572.6"
9,1,12,12,0,15,"4,744.6","114,137","257,506","368,221","484,260"
10,1,13,13,0,22,"1,745.8","92,570","235,940","346,805","462,921"
11,1,14,14,0,6,"1,575.6","87,054","230,450","341,331","457,431.8"
12,1,15,15,0,17,"1,264","70,758","214,042","325,174","441,075"
13,1,16,16,0,26,"2,191.4","45,059","188,326","299,001","415,677"
14,1,17,17,0,24,"1,655.6","21,444","164,702","276,735","392,400.8"
15,1,18,18,0,25,"1,516.8","3,924","140,213","252,270","368,006.8"
16,1,19,19,0,3,"1,911.8","4,805","138,389","250,022","365,716.4"
17,1,20,20,0,15,"1,054.6","2,106","124,348","235,663","351,955.2"
18,1,21,21,0,17,"2,163.2","3,700","108,203","219,206","335,659.2"
19,1,22,22,0,3,"1,457.8","3,854","105,755","216,782","333,588.2"
20,1,23,23,0,12,"2,003.4","4,637","95,364","205,924","322,888.8"
21,1,24,24,0,24,"1,600.6","3,029","73,303","183,411","299,580"
22,1,25,25,0,18,"2,076.2","3,859","56,187","166,847","282,864.6"
23,1,26,26,0,27,"2,046.8","2,759","29,938","141,148","256,828"
24,1,27,27,0,8,"1,875.6","2,665","23,175","134,008","249,906.8"
25,1,28,28,0,25,"1,880.4","2,960","6,559","109,667","225,492.6"
26,1,29,29,0,13,"2,845.8","4,055","6,255","97,660","213,351.4"
27,1,30,30,0,12,"1,962.8","2,858","4,989","86,202","202,242.8"
28,1,31,31,0,16,"2,404","3,335","5,466","70,637","187,040.8"
29,1,32,32,0,26,"1,342.2","2,184","2,988","45,496","162,160.4"
30,1,33,33,0,4,"1,582","2,438","2,975","42,498","158,825"
31,1,34,34,0,19,"2,069","3,205","4,122","26,116","140,750"
32,1,35,35,0,13,895.8,"1,842","2,181","13,926","128,409.2"
33,1,36,36,0,16,"1,525.4","2,222","2,683","5,896","113,010"
34,1,37,37,0,38,"8,851.6","9,591","9,837","10,270","75,842.8"
35,1,38,38,0,28,"2,178.2","2,953","3,446","4,037","48,774.2"
36,1,39,39,0,6,"1,672.2","2,563","2,934","3,623","43,545.8"
37,1,40,40,0,16,"3,570.2","4,411","5,640","6,252","28,399"
38,1,41,41,0,15,"1,433.4","2,292","2,659","3,556","17,884.8"
39,1,42,42,0,10,"1,437","2,206","2,565","3,742","15,184"
40,1,43,43,0,10,"3,715.8","4,537","4,993","6,321","17,093.4"
41,1,44,44,0,16,"2,174.4","2,834","3,212","4,715","6,799.6"
42,1,45,45,0,15,"2,534","3,167","3,757","5,736","10,852.2"
43,1,46,46,0,35,"1,496.8","2,060","2,528","3,235","8,194.6"
44,1,47,47,0,7,"1,395","2,511","3,809","4,936","13,325.6"
45,1,48,48,0,16,935.4,"1,430","2,180","4,971","7,569.8"
46,1,49,49,0,15,"1,079.8","1,611","2,322","3,366","7,400.2"
47,1,50,50,0,15,"15,018.8","15,377","15,659","16,391","17,881.8"
48,1,51,51,0,65,"1,282.8","1,641","2,277","2,826","3,728"
49,1,52,52,0,5,"3,558","3,854","4,105","4,845","7,137"
50,1,53,53,0,11,"1,222.6","1,688","1,825","3,538","7,704.4"
51,1,54,54,0,23,"5,082","5,505","6,277","7,073","8,097.2"
52,1,55,55,0,8,"1,814.2","2,182","2,347","4,059","6,995.2"
53,1,56,56,0,4,"1,405","1,790","2,417","3,709","6,493.8"
54,1,57,57,0,6,"1,634.2","2,309","2,555","3,008","4,712.6"
55,1,58,58,0,41,"1,026.6","1,524","2,029","4,691","9,456.4"
56,1,59,59,0,17,"8,056.6","8,359","8,824","10,893","15,071.8"
57,1,60,60,0,16,"2,385.6","2,832","3,350","5,067","9,138"
58,1,61,61,0,4,"3,269","3,661","3,839","4,593","6,700.6"
59,1,62,62,0,19,"3,800.8","4,095","4,440","5,786","19,610.4"
60,19,81,81,0,158,"3,726","4,457","4,944","6,272","14,769.4"
61,1,82,82,0,11,"1,285.2","1,891","2,336","3,153","11,471.6"
62,1,83,83,0,2,"4,677.8","5,078","5,575","6,139","15,900.2"
63,1,84,84,0,9,"1,434.8","1,852","2,546","3,860","12,671"
64,7,91,91,0,9,"1,825.5","2,190","2,749.5","4,970","15,827.9"
65,1,92,92,0,6,"8,243","9,254","9,704","13,866","34,122"
66,1,93,95,1,19,"3,059","3,949","4,645.5","5,226","16,913"
67,3,96,96,0,11,"3,726.4","4,671","5,178","6,045","9,526.4"
68,5,101,101,0,9,"2,300.2","3,249.5","9,276.5","26,765","30,282.9"
69,3,104,104,1,15,"2,089.4","3,437.5","7,479.5","12,393.5","19,269.4"
70,1,105,105,0,10,"1,337.2","2,659","3,537","5,476","16,165"
71,3,108,108,0,25,"2,001.6","2,483","2,868","3,499","6,412.6"
72,1,109,109,0,7,"1,860.4","3,014","3,404","5,058","7,957"
73,7,116,116,0,25,"1,528","2,081","2,528","3,832","41,606"
74,15,131,131,1,30,"1,923","2,777","4,352","6,852","21,074"
75,6,134,138,0,18,"1,046.6","1,637","3,349","5,362","7,550"
76,2,139,139,0,4,"1,093.6","2,308","3,105","3,887","13,780"
77,3,142,142,0,5,"8,418.2","8,826","9,120","11,755","17,636.8"
78,18,160,160,0,28,"5,278","6,701","7,278","9,406","21,144"
79,1,161,161,0,8,"2,667.4","3,395","4,842","10,072","24,792.4"
80,2,163,163,0,6,"1,540.4","2,560","4,332","6,300","21,754.4"
81,1,164,164,0,31,"2,618","3,616","20,292","41,848","68,250.6"
82,1,165,165,1,18,"1,835","3,749","20,720","45,578","50,854"
83,1,166,166,1,18,"2,482","3,740","5,624","28,395","34,966"
84,1,167,167,0,26,"1,953.6","2,890","4,630","8,749","59,135.4"
85,1,168,168,0,13,"1,267.3","1,738.5","3,462","12,469","53,354"
86,1,169,169,1,5,"6,802","12,244","14,473","31,183","60,838"
87,1,170,170,1,30,"1,962","3,481","5,478","14,141","51,299"
88,1,171,171,1,11,"1,323","2,635","3,826","7,905","61,621"
89,1,172,172,1,15,"2,423.2","3,578","5,112","8,222","83,405.6"
90,1,173,173,0,26,"2,337","3,387","4,169","26,889","65,871"
91,1,174,174,1,22,"1,300","3,301","6,625.5","16,111","78,201"
92,1,175,175,1,9,"3,197.6","4,854","7,087","15,472","89,953"
93,1,176,176,0,6,"2,755","4,001","5,493","13,716","110,839.6"
94,1,177,177,0,21,"1,453","3,028","4,719","15,220","109,403.2"
95,2,179,179,0,17,"2,060.6","3,491","4,361","5,622","104,625.2"
96,2,181,181,0,14,"1,855","2,602","4,342","27,621","102,165"
97,1,182,182,1,26,"1,341","1,900","3,430.5","12,447","77,434"
98,2,184,184,0,9,960.6,"2,384","4,336","14,027","91,669"
99,1,185,185,0,27,"4,263.6","5,193","5,619","18,511","81,043.4"
100,5,190,190,0,22,"2,780.2","4,974","6,625","22,665","70,789.2"
101,10,200,200,0,17,"1,826","3,386","12,074","18,461","66,496.4"
102,62,262,262,0,20,"4,182.4","6,601","9,372","25,259","56,235.8"
103,22,284,284,0,29,"19,835.9","21,418","23,309.5","37,981","63,709.3"
104,283,542,567,0,38,"2,604","4,251","7,841","29,992","68,628"
105,161,672,728,1,12,"2,969","4,412","5,898","41,392","67,476"
106,170,898,898,0,23,"10,738","13,989","17,169","36,283","66,246.2"
107,247,"1,145","1,145",0,25,"4,007.4","5,379","9,276","29,474","77,729.8"
108,41,"1,186","1,186",0,8,"4,202.8","7,781","9,328","23,866","83,096.8"
109,50,"1,236","1,236",0,12,"3,474.6","6,228","10,035","16,997","91,213.6"
110,104,"1,340","1,340",0,14,"2,632.6","3,925","5,282","12,678","94,128.8"
111,489,"1,829","1,829",0,28,"4,128.8","5,849","7,390","12,267","90,729.6"
112,87,"1,916","1,916",0,8,"1,753.4","2,916","4,227","7,299","92,066.4"
113,413,"2,329","2,329",0,17,"2,008.8","3,648","6,054","6,960","97,674.6"
114,345,"2,674","2,674",0,21,"7,961.4","9,262","11,013","13,397","92,364.2"
115,606,"3,280","3,280",0,20,"4,075","6,397","9,281","56,445","77,619"
116,966,"3,523","4,246",1,39,"4,496","6,414","18,001","27,053","49,502"
117,431,"4,677","4,677",0,13,"4,565.4","7,315","35,930","58,744","89,134.6"
118,750,"5,004","5,427",2,23,"4,594.1","7,076","28,580","41,849","86,436.5"
119,860,"5,614","6,287",0,30,"4,380.2","8,155","13,409.5","20,372","84,195.4"
120,875,"7,162","7,162",0,14,"3,246.2","5,222","7,827","9,454","101,156"
121,881,"8,043","8,043",0,20,"2,958.6","5,319","7,188","25,818","107,211.8"
122,127,"8,170","8,170",0,14,"8,085","11,318","11,938","32,730","105,193.2"
123,1780,"9,950","9,950",0,41,"7,891.8","9,966","14,769","30,407","75,523.8"
124,2380,"12,330","12,330",0,35,"6,779","21,352","69,109","81,834","115,802"
125,2123,"12,778","14,453",1,40,"4,571","9,764","36,033","54,951","83,807"
126,2011,"15,060","16,769",2,22,"8,437","16,081","30,434","57,499","75,407"
127,1338,"16,516","17,802",0,40,"9,632","13,175","19,004","31,331","61,800"
