BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,104881.00000000001,349469,472797,644613,770048
1,1,2,2,0,29,83564.6,321358,462358,619989,742762
2,1,3,3,0,19,69723.20000000001,302592,443600,614054,724391.3999999999
3,3,6,6,0,61,34994.600000000006,241893,382817,554592,664509.3999999999
4,1,7,7,0,38,14084,204129,345126,519093,627532.3999999999
5,1,8,8,0,83,12602.2,121362,262394,438218,545529.3999999999
6,1,9,9,0,76,11129.400000000001,45613,186666,363703,470318.3999999999
7,1,10,10,0,63,13842,14297,124017,302928,408207.79999999993
8,1,11,11,0,39,29972.8,30298,85354,265305,370250.79999999993
9,1,12,12,0,63,19598.2,19988,22621,203947,307987.39999999997
10,1,13,13,0,94,7661,8173,8440,111124,214779.39999999997
11,1,14,14,0,51,9421.800000000001,9865,11631,61965,164673.19999999995
12,1,15,15,0,56,5965,6430,6989,15860,111855.19999999994
13,1,16,16,0,50,3494.2,4009,5342,6407,62575.999999999935
14,1,17,17,0,66,2685.2000000000003,2998,4652,7168,15711.599999999979
15,1,18,18,0,86,3841,4149,4517,8127,13514.399999999987
16,1,19,19,0,50,3192.2,3554,6753,7798,10346.199999999995
17,1,20,20,0,73,6005.4,6224,7591,10589,11822.199999999999
18,1,21,21,0,70,11698,12078,15814,20954,43197.19999999998
19,1,22,22,0,32,5351.8,5881,12505,16703,25954.8
20,1,23,23,0,93,5436,5849,9032,12306,25390.39999999998
21,1,24,24,0,28,4477,7024,8618,14427,15743.399999999998
22,1,25,25,0,111,6251.4,6868,8950,10158,22402.399999999994
23,1,26,26,0,65,12717.4,13820,14811,20052,24696.6
24,1,27,27,0,70,3339.4,3747,4974,16663,48799.39999999997
25,1,28,28,0,59,15697,16402,20930,28760,48651.399999999965
26,15,43,43,0,33,7482.4,8272,9272,20323,92071.09999999971
27,33,44,76,0,81,3929.2,5654,13295,29365,83502.39999999997
