BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,"22,892.5","162,647.5","332,229","585,990.5","994,335"
1,1,2,2,0,22,"2,600","141,187.5","310,934.5","570,784","978,340.5"
2,1,3,3,0,9,"7,792.5","132,214","302,014","564,994","973,721"
3,1,4,4,0,39,"2,841","93,243.5","263,117.5","529,113.5","937,538.5"
4,1,5,5,0,18,"2,755.5","75,271.5","245,210","515,020","921,439.5"
5,1,6,6,0,12,"3,170","63,300.5","233,307.5","507,627.5","912,192"
6,1,7,7,0,6,"2,766.5","57,329","227,405.5","504,075.5","908,397.5"
7,1,8,8,0,4,"4,718","53,358.5","223,485","502,423.5","906,407.5"
8,1,9,9,0,12,"2,581.5","41,388","211,620","493,572","896,774"
9,1,10,10,0,4,"6,820.5","37,420","207,700.5","494,272","895,273.5"
10,1,11,11,0,9,"4,097.5","28,452","198,771.5","489,606","888,536.5"
11,1,12,12,0,11,"5,481","17,479","187,853","487,346","881,265.5"
12,1,13,13,0,7,"4,088","12,767.5","180,926.5","483,314","878,091.5"
13,1,14,14,0,8,"3,384","8,406","173,026.5","479,189","873,828"
14,1,15,15,0,7,"5,024.5","5,741","166,108","475,552.5","869,137.5"
15,1,16,16,0,13,"9,717","9,891","153,188","465,307","858,604.5"
16,3,19,19,0,28,"25,715.5","25,942.5","125,270","439,521","833,547"
17,1,20,20,0,31,"5,264","5,553.5","94,391","411,139","805,495"
18,1,21,21,0,11,"7,177.5","7,524.5","83,478","402,804","797,285"
19,1,22,22,0,15,"5,987.5","6,289","68,556.5","396,087.5","787,036.5"
20,1,23,23,0,24,"7,216","7,488","44,137","376,123","767,978.5"
21,1,24,24,0,13,"6,148.5","6,379.5","31,716","368,438.5","759,898.5"
22,1,25,25,0,65,"10,691.5","10,916.5","11,003","307,533.5","703,594.5"
23,1,26,26,0,46,"23,056.5","23,339.5","23,396","266,026.5","660,649.5"
24,1,27,27,0,40,"13,073.5","13,293.5","13,360.5","232,896","624,295"
