BlockNumber,TxNumber,Min total tx,Max total tx,Forkscount,BlockTime,5th percentile of propagation(ms),25th percentile of propagation(ms),50th percentile of propagation(ms),75th percentile of propagation(ms),95th percentile of propagation(ms)
0,1,1,1,0,0,264361.6,364231,526352,696159,900881.6000000001
1,1,2,2,0,33,232540.40000000002,332202,496585,666277,872303.8
2,1,3,3,0,19,213823.4,313447,478462,648587,856818.8
3,3,6,6,0,96,118139.40000000001,217690,382995,555929,762883.2000000001
4,1,7,7,0,75,12254.2,138532,273806,430471,681993.8
5,1,8,8,0,75,7739.4,67683,199015,357080,608246.6
6,1,9,9,0,57,6816,12317,142257,301674,552532.5999999999
7,1,10,10,0,78,8501.400000000001,9162,64540,225516,476353.9999999999
8,1,11,11,0,91,4277.8,5157,13342,136259,389186.79999999993
9,1,12,12,0,61,9015.4,9811,10386,76552,329971.19999999995
10,1,13,13,0,57,11741.400000000001,12243,12717,20961,276110.19999999995
11,1,14,14,0,81,3633.2,4112,4422,8835,197864.39999999994
12,1,15,15,0,66,1560.2,2194,2630,4801,135889.99999999994
13,1,16,16,0,69,1422,2054,3058,3981,70513.19999999992
14,1,17,17,0,32,1483.6,1939,2608,7247,44098.399999999936
15,1,18,18,0,45,4885.6,5232,5548,7272,21773.399999999987
16,1,19,19,0,65,1404.4,1879,2785,5282,23577.199999999946
17,1,20,20,0,98,1350.8000000000002,1671,3973,7363,19101.599999999966
18,1,21,21,0,50,6827.8,7147,7717,19423,45179.59999999993
19,1,22,22,0,34,2818.8,3217,7541,10726,53820.19999999999
20,1,23,23,0,114,1077.8,1803,2291,6787,9693.199999999999
21,1,24,24,0,51,1519.6,1856,1981,9633,10401.4
22,1,25,25,0,50,1449.8,1887,6135,12327,21177.999999999993
23,1,26,26,0,101,8100,8554,10293,19665,30962.799999999974
24,1,27,27,0,54,5062.6,5580,6264,7551,26761.59999999999
25,1,28,28,0,81,4361.8,4748,4997,6970,26571.999999999978
26,1,29,29,0,39,2574.6,2878,3077,6556,17071.79999999998
27,1,30,30,0,74,4408.4,4864,5306,13078,14303.400000000001
28,1,31,31,0,24,3230.2,3658,3919,5943,20552.799999999974
29,1,32,32,0,102,13883.400000000001,14166,14494,21880,30736.999999999996
30,15,47,47,0,63,2436.2,2742,2933,6083,11358.8
31,23,70,70,0,47,1120.8000000000002,1378,2275.5,9798,62255.69999999968
32,24,94,94,0,70,1540.2000000000003,1759,5652,15641,35571.89999999984
33,20,114,114,0,70,797.2,1161,1506,5123,8490.799999999997
34,1,115,115,0,29,3518,3946,8517,176679,182916
35,1,116,116,1,103,834.8,3682,7373,74168,95574.59999999999
36,1,117,117,0,72,1350,1652,2752,5254,28410.79999999993
37,1,118,118,0,11,2884.8,3436,3601,4952,25228.199999999968
38,21,139,139,0,107,7438.6,7811,8038,9452,23859.999999999975
39,167,306,306,0,59,13775.4,14665,14951,21324,23507.2
40,106,412,412,0,23,4638.6,4879.5,7082,13631.5,191837.89999999988
41,1712,2101,2124,0,102,2047,2268,8145.5,18281,131675
42,2724,4238,4848,0,78,2271.6000000000004,2723,10041,21498,62885.2
43,3395,8243,8243,0,47,2387.8,3007,7454,18258,53779.799999999705
44,290,8533,8558,0,22,5938.200000000001,7111,7722,14295,49812.699999999735
45,6613,15146,15146,0,87,10334.4,11313,12670,22521,31783.799999999992
46,1524,16670,16670,0,22,2084.4000000000005,2592,5966,17838,160200.19999999998
47,13647,30317,31757,1,111,3471,7510,21440,53387,127815
48,1713,31706,32080,1,26,12167,18116,26768,80669,109288
49,7862,39892,39892,0,75,14380,27446,181224,249724,297218
50,33617,71345,73509,5,109,7782.800000000001,33882,84706,152259,211459.19999999963
51,24561,79191,98765,3,50,5964,31349,46499,112381,203131
52,2756,90359,100826,1,49,1593,13634,61717,131779,430142
53,30462,124402,131288,2,100,5007,14223,29973,62065,339765
54,4590,131912,135878,1,19,2651,6662,39129,153152,322915
55,30349,137979,169493,3,85,6127,21297,46018.5,135422.5,252125
56,16805,141138,183032,2,40,5177,24152,67580,132916,267713
57,18786,201818,201818,0,29,9760,17220,120123,286964,431185
58,33615,207787,235433,3,119,6513,21739,37685,180241,363498
59,29604,212427,265037,1,29,5300,51526,247171,348354,611212
60,31842,286748,298652,4,135,11387,45420,125753,219193,486861
61,1815,298694,298694,0,116,35839,109330,263794,436636,806262.7999999998
62,32299,312705,332309,2,55,34304,162770,265674,415563,703762
63,8611,339604,365925,2,142,12407.4,95571,152675,294853,689476.8000000007
64,33616,373220,373220,0,38,47888.10000000001,103333,257213.5,354307,918077
65,7237,380457,380457,0,105,18801.600000000002,63239,165721.5,263283.5,879000
66,22723,403180,403180,0,160,33778.600000000006,69675,141947,642010,2221673.9999999898
67,33616,436795,436796,2,110,25007,129402,192760,447651,1649160
68,6664,443460,470411,0,183,42024,122618,174949,606689,2670479
69,33614,477074,477074,0,164,8333,80630,200937,691788,2557218
70,33615,510689,510689,1,240,8346.400000000001,29182,91254,465333,2354854.2
71,33615,544304,544304,0,93,35075,49523,214385,497207,2302975
